user_id,date,daily_spend,daily_txn_count,night_txn_count,unique_categories,night_ratio
1,2025-01-02,1884.5300000000002,2,0,2,0.0
1,2025-01-04,2051.47,2,0,2,0.0
1,2025-01-09,1899.7800000000002,2,0,2,0.0
1,2025-01-11,1650.01,2,1,2,0.5
1,2025-01-12,921.74,1,0,1,0.0
1,2025-01-18,1386.05,1,0,1,0.0
1,2025-01-24,2795.99,2,0,1,0.0
1,2025-01-26,1396.24,1,0,1,0.0
1,2025-01-30,1710.91,2,0,2,0.0
2,2025-01-02,737.19,1,0,1,0.0
2,2025-01-08,666.09,1,0,1,0.0
2,2025-01-09,2094.45,2,0,2,0.0
2,2025-01-10,1026.49,2,1,2,0.5
2,2025-01-12,2068.89,2,0,2,0.0
2,2025-01-13,1726.0100000000002,2,0,2,0.0
2,2025-01-19,1882.17,2,0,2,0.0
2,2025-01-21,1115.81,1,0,1,0.0
2,2025-01-22,2282.33,2,1,2,0.5
2,2025-01-23,1800.57,1,0,1,0.0
2,2025-01-24,1195.75,1,0,1,0.0
2,2025-01-25,840.76,1,0,1,0.0
2,2025-01-28,1043.26,1,0,1,0.0
2,2025-01-30,2038.6399999999999,2,0,2,0.0
3,2025-01-01,671.05,1,0,1,0.0
3,2025-01-03,1257.19,2,0,2,0.0
3,2025-01-04,872.03,2,2,2,1.0
3,2025-01-06,1599.8200000000002,2,0,2,0.0
3,2025-01-07,1494.5300000000002,2,0,2,0.0
3,2025-01-09,1079.58,2,2,2,1.0
3,2025-01-12,1204.31,2,2,2,1.0
3,2025-01-13,1125.57,2,0,2,0.0
3,2025-01-14,638.67,1,0,1,0.0
3,2025-01-15,606.87,1,1,1,1.0
3,2025-01-16,917.95,1,1,1,1.0
3,2025-01-17,1300.21,2,1,1,0.5
3,2025-01-19,291.91,1,1,1,1.0
3,2025-01-21,1110.72,2,1,1,0.5
3,2025-01-22,1462.8400000000001,2,1,2,0.5
3,2025-01-23,1223.88,2,1,2,0.5
3,2025-01-26,679.95,1,0,1,0.0
4,2025-01-02,1005.63,1,0,1,0.0
4,2025-01-05,1254.56,2,0,2,0.0
4,2025-01-06,1153.25,1,0,1,0.0
4,2025-01-08,2742.08,2,0,2,0.0
4,2025-01-09,871.11,1,0,1,0.0
4,2025-01-11,1994.05,2,0,2,0.0
4,2025-01-13,3158.6000000000004,2,0,2,0.0
4,2025-01-19,1098.56,1,0,1,0.0
4,2025-01-22,1951.29,2,1,2,0.5
4,2025-01-23,1735.6999999999998,2,1,2,0.5
4,2025-01-25,2098.15,2,1,2,0.5
4,2025-01-27,1200.13,1,1,1,1.0
4,2025-01-29,2157.68,2,0,2,0.0
4,2025-01-30,1082.44,1,1,1,1.0
5,2025-01-03,2056.4,2,0,2,0.0
5,2025-01-04,2090.9300000000003,2,0,2,0.0
5,2025-01-05,1392.2,2,0,2,0.0
5,2025-01-08,780.53,1,0,1,0.0
5,2025-01-09,1128.77,1,0,1,0.0
5,2025-01-10,2463.67,2,0,2,0.0
5,2025-01-11,758.16,1,0,1,0.0
5,2025-01-12,1258.75,1,0,1,0.0
5,2025-01-16,614.2,1,0,1,0.0
5,2025-01-18,1101.61,1,0,1,0.0
5,2025-01-20,794.85,1,0,1,0.0
5,2025-01-29,1157.48,1,0,1,0.0
5,2025-01-30,1777.38,2,0,2,0.0
6,2025-01-01,2537.76,2,0,2,0.0
6,2025-01-02,2585.41,2,0,1,0.0
6,2025-01-05,1421.26,1,0,1,0.0
6,2025-01-06,2489.42,2,1,1,0.5
6,2025-01-08,1513.1399999999999,2,1,2,0.5
6,2025-01-09,2118.92,2,0,2,0.0
6,2025-01-11,906.14,1,0,1,0.0
6,2025-01-12,2051.51,2,0,2,0.0
6,2025-01-14,1081.74,1,0,1,0.0
6,2025-01-16,2292.69,2,0,2,0.0
6,2025-01-18,1748.8400000000001,2,1,2,0.5
6,2025-01-19,2141.09,2,1,2,0.5
6,2025-01-23,859.9,1,0,1,0.0
6,2025-01-24,1485.37,1,0,1,0.0
6,2025-01-25,768.93,1,0,1,0.0
6,2025-01-27,564.18,1,0,1,0.0
7,2025-01-02,840.44,1,0,1,0.0
7,2025-01-04,545.82,1,0,1,0.0
7,2025-01-05,927.47,1,0,1,0.0
7,2025-01-06,935.16,1,0,1,0.0
7,2025-01-08,1360.88,2,0,2,0.0
7,2025-01-10,628.32,1,0,1,0.0
7,2025-01-11,871.18,1,0,1,0.0
7,2025-01-14,1562.33,2,0,2,0.0
7,2025-01-17,1438.12,2,1,2,0.5
7,2025-01-22,1593.9699999999998,2,1,2,0.5
7,2025-01-23,1503.56,2,0,2,0.0
7,2025-01-29,1392.9,2,0,2,0.0
7,2025-01-30,928.3,1,0,1,0.0
8,2025-01-01,1374.73,2,0,2,0.0
8,2025-01-03,498.37,1,0,1,0.0
8,2025-01-04,1529.98,2,0,2,0.0
8,2025-01-05,915.38,1,0,1,0.0
8,2025-01-08,930.88,2,0,2,0.0
8,2025-01-11,1446.94,2,0,2,0.0
8,2025-01-20,1408.87,2,0,2,0.0
8,2025-01-22,709.94,1,0,1,0.0
8,2025-01-27,1364.45,2,0,1,0.0
8,2025-01-28,1864.0300000000002,2,0,1,0.0
9,2025-01-01,1008.56,1,1,1,1.0
9,2025-01-02,883.49,1,0,1,0.0
9,2025-01-04,988.5,1,1,1,1.0
9,2025-01-05,2459.63,2,1,2,0.5
9,2025-01-06,666.05,1,0,1,0.0
9,2025-01-07,702.6,1,1,1,1.0
9,2025-01-10,1366.14,1,0,1,0.0
9,2025-01-11,1071.05,1,1,1,1.0
9,2025-01-13,1046.0800000000002,2,1,2,0.5
9,2025-01-14,1781.69,2,2,2,1.0
9,2025-01-15,799.44,1,1,1,1.0
9,2025-01-17,1481.96,1,1,1,1.0
