user_id,date,hour,amount,category
3,2025-01-01,20,671.05,Food
6,2025-01-01,16,1372.4,Travel
6,2025-01-01,15,1165.36,Fashion
8,2025-01-01,16,564.93,Travel
8,2025-01-01,17,809.8,Entertainment
9,2025-01-01,22,1008.56,Electronics
10,2025-01-01,15,308.26,Entertainment
11,2025-01-01,14,913.6,Food
11,2025-01-01,13,780.23,Travel
15,2025-01-01,21,932.42,Entertainment
15,2025-01-01,16,970.58,Entertainment
16,2025-01-01,14,495.75,Travel
16,2025-01-01,11,957.27,Travel
19,2025-01-01,17,1278.88,Food
23,2025-01-01,21,906.22,Fashion
25,2025-01-01,12,257.97,Travel
25,2025-01-01,16,608.25,Travel
26,2025-01-01,10,738.13,Electronics
26,2025-01-01,21,678.66,Electronics
28,2025-01-01,21,74.44,Electronics
28,2025-01-01,12,167.5,Fashion
31,2025-01-01,10,1845.85,Entertainment
31,2025-01-01,8,1585.16,Fashion
33,2025-01-01,8,914.21,Entertainment
34,2025-01-01,12,1031.91,Entertainment
34,2025-01-01,10,949.49,Fashion
35,2025-01-01,18,785.87,Entertainment
39,2025-01-01,15,1252.47,Food
39,2025-01-01,14,624.64,Food
40,2025-01-01,8,1000.05,Travel
41,2025-01-01,21,651.24,Food
42,2025-01-01,22,1107.87,Fashion
49,2025-01-01,21,726.45,Food
49,2025-01-01,13,787.74,Travel
53,2025-01-01,19,881.74,Food
53,2025-01-01,20,988.12,Travel
56,2025-01-01,11,573.59,Food
56,2025-01-01,11,1099.69,Travel
60,2025-01-01,18,1021.34,Travel
60,2025-01-01,12,1238.97,Electronics
62,2025-01-01,9,625.92,Travel
65,2025-01-01,19,808.6,Entertainment
65,2025-01-01,14,1262.0,Electronics
66,2025-01-01,23,984.12,Travel
66,2025-01-01,13,1148.49,Food
68,2025-01-01,20,792.82,Food
71,2025-01-01,17,624.45,Entertainment
72,2025-01-01,17,465.94,Electronics
73,2025-01-01,9,706.34,Entertainment
73,2025-01-01,15,1481.35,Entertainment
74,2025-01-01,13,795.13,Fashion
76,2025-01-01,11,1118.98,Electronics
76,2025-01-01,23,543.48,Food
79,2025-01-01,20,812.33,Travel
81,2025-01-01,12,661.98,Travel
81,2025-01-01,22,1067.74,Electronics
82,2025-01-01,21,489.68,Travel
85,2025-01-01,22,419.31,Fashion
85,2025-01-01,8,423.12,Fashion
88,2025-01-01,19,38.39,Food
