user_id,behaviour_type,impulse_sensitivity,self_control_factor,base_spend_mean,base_txn_probability
1,Disciplined,0.343,0.648,1030.35,0.4
2,Disciplined,0.431,0.724,887.4,0.4
3,Emotional_Night,0.835,0.263,619.13,0.6
4,Disciplined,0.405,0.71,985.01,0.4
5,Disciplined,0.409,0.731,912.15,0.4
6,Salary_Splurger,0.674,0.352,995.16,0.5
7,Disciplined,0.313,0.641,695.23,0.4
8,Disciplined,0.325,0.654,778.91,0.4
9,Emotional_Night,0.813,0.359,927.88,0.6
10,Weekend_Impulse,0.63,0.51,587.23,0.5
11,Disciplined,0.324,0.685,838.24,0.4
12,Disciplined,0.481,0.683,748.05,0.4
13,Salary_Splurger,0.504,0.519,2002.93,0.5
14,Disciplined,0.331,0.612,855.47,0.4
15,Disciplined,0.393,0.692,828.69,0.4
16,Disciplined,0.351,0.726,779.09,0.4
17,Weekend_Impulse,0.568,0.473,1129.82,0.5
18,Salary_Splurger,0.625,0.526,1446.9,0.5
19,Weekend_Impulse,0.686,0.572,1194.0,0.5
20,Disciplined,0.346,0.696,917.84,0.4
21,Emotional_Night,0.833,0.347,264.05,0.6
22,Salary_Splurger,0.577,0.463,1919.23,0.5
23,Weekend_Impulse,0.573,0.57,913.35,0.5
24,Disciplined,0.35,0.793,859.24,0.4
25,Emotional_Night,0.768,0.242,832.74,0.6
26,Disciplined,0.313,0.735,795.86,0.4
27,Salary_Splurger,0.571,0.573,535.04,0.5
28,Emotional_Night,0.818,0.49,102.79,0.6
29,Emotional_Night,0.846,0.338,219.25,0.6
30,Weekend_Impulse,0.678,0.591,1421.52,0.5
31,Salary_Splurger,0.692,0.331,1852.09,0.5
32,Emotional_Night,0.802,0.283,425.94,0.6
33,Disciplined,0.418,0.717,845.13,0.4
34,Salary_Splurger,0.709,0.591,845.82,0.5
35,Disciplined,0.499,0.741,669.92,0.4
36,Emotional_Night,0.762,0.429,1024.64,0.6
37,Emotional_Night,0.85,0.313,389.82,0.6
38,Emotional_Night,0.802,0.48,909.24,0.6
39,Disciplined,0.395,0.637,877.36,0.4
40,Disciplined,0.428,0.749,848.27,0.4
41,Salary_Splurger,0.623,0.541,997.5,0.5
42,Weekend_Impulse,0.609,0.51,774.07,0.5
43,Salary_Splurger,0.717,0.373,1410.35,0.5
44,Disciplined,0.465,0.788,898.29,0.4
45,Weekend_Impulse,0.577,0.508,988.13,0.5
46,Salary_Splurger,0.512,0.321,2349.06,0.5
47,Emotional_Night,0.822,0.322,957.83,0.6
48,Disciplined,0.406,0.621,943.81,0.4
49,Disciplined,0.44,0.703,995.53,0.4
50,Salary_Splurger,0.574,0.422,1375.95,0.5
51,Salary_Splurger,0.616,0.508,1733.39,0.5
52,Disciplined,0.351,0.689,793.39,0.4
53,Disciplined,0.436,0.701,898.06,0.4
54,Weekend_Impulse,0.667,0.442,1097.22,0.5
55,Disciplined,0.482,0.644,863.02,0.4
56,Disciplined,0.471,0.713,763.45,0.4
57,Emotional_Night,0.778,0.481,858.28,0.6
58,Disciplined,0.313,0.694,663.59,0.4
59,Weekend_Impulse,0.655,0.506,1007.31,0.5
60,Disciplined,0.387,0.767,914.31,0.4
61,Disciplined,0.323,0.64,743.98,0.4
62,Weekend_Impulse,0.615,0.593,652.91,0.5
63,Weekend_Impulse,0.553,0.555,1050.16,0.5
64,Disciplined,0.317,0.759,786.52,0.4
65,Weekend_Impulse,0.574,0.597,1009.21,0.5
66,Emotional_Night,0.738,0.354,752.85,0.6
67,Disciplined,0.377,0.711,697.61,0.4
68,Weekend_Impulse,0.594,0.572,908.08,0.5
69,Emotional_Night,0.873,0.46,384.27,0.6
70,Weekend_Impulse,0.513,0.475,1208.97,0.5
71,Disciplined,0.323,0.768,834.16,0.4
72,Emotional_Night,0.754,0.309,867.52,0.6
73,Weekend_Impulse,0.558,0.472,894.04,0.5
74,Salary_Splurger,0.532,0.361,1889.71,0.5
75,Weekend_Impulse,0.535,0.411,1320.66,0.5
76,Emotional_Night,0.875,0.28,745.67,0.6
77,Salary_Splurger,0.727,0.379,1894.96,0.5
78,Emotional_Night,0.752,0.42,598.73,0.6
79,Disciplined,0.372,0.61,630.94,0.4
80,Emotional_Night,0.751,0.274,618.21,0.6
81,Weekend_Impulse,0.559,0.595,636.87,0.5
82,Disciplined,0.388,0.735,789.22,0.4
83,Weekend_Impulse,0.501,0.593,1127.95,0.5
84,Disciplined,0.417,0.767,818.05,0.4
85,Emotional_Night,0.798,0.353,412.02,0.6
86,Disciplined,0.385,0.745,756.0,0.4
87,Disciplined,0.459,0.766,817.13,0.4
88,Emotional_Night,0.868,0.295,46.45,0.6
89,Disciplined,0.302,0.729,936.58,0.4
90,Emotional_Night,0.86,0.267,637.0,0.6
91,Weekend_Impulse,0.676,0.551,639.29,0.5
92,Emotional_Night,0.715,0.202,937.43,0.6
93,Emotional_Night,0.814,0.437,1316.68,0.6
94,Weekend_Impulse,0.516,0.552,933.84,0.5
95,Weekend_Impulse,0.579,0.446,697.63,0.5
96,Disciplined,0.492,0.74,825.66,0.4
97,Emotional_Night,0.774,0.286,750.5,0.6
98,Disciplined,0.349,0.79,854.67,0.4
99,Weekend_Impulse,0.594,0.54,1061.91,0.5
100,Salary_Splurger,0.588,0.351,1061.37,0.5
101,Emotional_Night,0.82,0.315,131.19,0.6
102,Weekend_Impulse,0.582,0.457,1182.0,0.5
103,Emotional_Night,0.728,0.42,1078.02,0.6
104,Emotional_Night,0.86,0.204,761.45,0.6
105,Disciplined,0.363,0.721,566.97,0.4
106,Emotional_Night,0.763,0.384,193.25,0.6
107,Disciplined,0.381,0.672,766.26,0.4
108,Weekend_Impulse,0.526,0.457,1006.27,0.5
109,Disciplined,0.406,0.642,636.3,0.4
110,Disciplined,0.343,0.746,957.55,0.4
111,Disciplined,0.45,0.69,872.73,0.4
